family_id,obs,source_file,tier_norm,begin_s,end_s,dur_s,posture,lb_session,tone_offset_s,Notes,in_tracking,imu_alignable,lb_begin_s,lb_end_s
25003,10A,BRP1_25003_Obs10A_EDITED.txt,posture,0.0,147.0,147.0,on stomach,BRP1_25003_REC1011_2025-02-19-09-49-53,508.6,,True,True,508.6,655.6
25003,10A,BRP1_25003_Obs10A_EDITED.txt,posture,147.0,520.0,373.0,on back,BRP1_25003_REC1011_2025-02-19-09-49-53,508.6,,True,True,655.6,1028.6
25003,11A,BRP1_25003_Obs11A_EDITED.txt,posture,0.0,82.0,82.0,on back,BRP1_25003_REC1011_2025-02-26-09-54-36,354.8,,True,True,354.8,436.8
25003,11A,BRP1_25003_Obs11A_EDITED.txt,posture,82.0,85.0,3.0,on side,BRP1_25003_REC1011_2025-02-26-09-54-36,354.8,,True,True,436.8,439.8
25003,11A,BRP1_25003_Obs11A_EDITED.txt,posture,85.0,714.0,629.0,on stomach,BRP1_25003_REC1011_2025-02-26-09-54-36,354.8,,True,True,439.8,1068.8
25003,11A,BRP1_25003_Obs11A_EDITED.txt,posture,714.0,805.009,91.009,on back,BRP1_25003_REC1011_2025-02-26-09-54-36,354.8,,True,True,1068.8,1159.809
25003,11A,BRP1_25003_Obs11A_EDITED.txt,posture,805.009,808.0,2.991,on side,BRP1_25003_REC1011_2025-02-26-09-54-36,354.8,,True,True,1159.809,1162.8
25003,11A,BRP1_25003_Obs11A_EDITED.txt,posture,808.0,938.0,130.0,on stomach,BRP1_25003_REC1011_2025-02-26-09-54-36,354.8,,True,True,1162.8,1292.8
25003,11A,BRP1_25003_Obs11A_EDITED.txt,posture,938.0,1627.0,689.0,on back,BRP1_25003_REC1011_2025-02-26-09-54-36,354.8,,True,True,1292.8,1981.8
25003,11A,BRP1_25003_Obs11A_EDITED.txt,posture,1627.0,1631.0,4.0,on side,BRP1_25003_REC1011_2025-02-26-09-54-36,354.8,,True,True,1981.8,1985.8
25003,11A,BRP1_25003_Obs11A_EDITED.txt,posture,1631.0,1818.0,187.0,on stomach,BRP1_25003_REC1011_2025-02-26-09-54-36,354.8,,True,True,1985.8,2172.8
25003,11B,BRP1_25003_Obs11B_EDITED.txt,posture,0.0,548.0,548.0,on back,BRP1_25003_REC1011_2025-02-26-15-16-25,429.7,,True,True,429.7,977.7
25003,11B,BRP1_25003_Obs11B_EDITED.txt,posture,548.0,798.7,250.7,sit,BRP1_25003_REC1011_2025-02-26-15-16-25,429.7,,True,True,977.7,1228.4
25003,11B,BRP1_25003_Obs11B_EDITED.txt,posture,798.7,812.009,13.309,recline back,BRP1_25003_REC1011_2025-02-26-15-16-25,429.7,,True,True,1228.4,1241.709
25003,11B,BRP1_25003_Obs11B_EDITED.txt,posture,812.009,825.005,12.996,stand,BRP1_25003_REC1011_2025-02-26-15-16-25,429.7,,True,True,1241.709,1254.705
25003,11B,BRP1_25003_Obs11B_EDITED.txt,posture,825.005,835.106,10.101,recline back,BRP1_25003_REC1011_2025-02-26-15-16-25,429.7,,True,True,1254.705,1264.806
25003,11B,BRP1_25003_Obs11B_EDITED.txt,posture,835.106,840.994,5.888,sit,BRP1_25003_REC1011_2025-02-26-15-16-25,429.7,,True,True,1264.806,1270.694
25003,11B,BRP1_25003_Obs11B_EDITED.txt,posture,840.994,1035.0,194.006,on back,BRP1_25003_REC1011_2025-02-26-15-16-25,429.7,,True,True,1270.694,1464.7
25003,11B,BRP1_25003_Obs11B_EDITED.txt,posture,1035.0,1557.964,522.964,stand,BRP1_25003_REC1011_2025-02-26-15-16-25,429.7,,True,True,1464.7,1987.664
25003,11B,BRP1_25003_Obs11B_EDITED.txt,posture,1557.964,1563.652,5.688,recline back,BRP1_25003_REC1011_2025-02-26-15-16-25,429.7,,True,True,1987.664,1993.352
25003,11B,BRP1_25003_Obs11B_EDITED.txt,posture,1563.652,1624.0,60.348,on back,BRP1_25003_REC1011_2025-02-26-15-16-25,429.7,,True,True,1993.352,2053.7
25003,11B,BRP1_25003_Obs11B_EDITED.txt,posture,1624.0,1636.0,12.0,recline back,BRP1_25003_REC1011_2025-02-26-15-16-25,429.7,,True,True,2053.7,2065.7
25003,11B,BRP1_25003_Obs11B_EDITED.txt,posture,1636.0,1678.0,42.0,recline back,BRP1_25003_REC1011_2025-02-26-15-16-25,429.7,,True,True,2065.7,2107.7
25003,11B,BRP1_25003_Obs11B_EDITED.txt,posture,1678.0,1680.0,2.0,stand,BRP1_25003_REC1011_2025-02-26-15-16-25,429.7,,True,True,2107.7,2109.7
25003,11B,BRP1_25003_Obs11B_EDITED.txt,posture,1680.0,1683.0,3.0,sit,BRP1_25003_REC1011_2025-02-26-15-16-25,429.7,,True,True,2109.7,2112.7
